from_lat,from_lon,target_name,startTime,duration,walkDistance
54.82881424,11.32441941,skole nr 1 ,1724314082000.0,4721.0,3051.89
54.82881424,11.32441941,nakskov skole,,,
54.83455808,11.32682512,skole nr 1 ,1724314642000.0,4161.0,2332.6
54.83455808,11.32682512,nakskov skole,1724313859000.0,3734.0,3220.71
54.81617831,11.33697486,skole nr 1 ,1724316339000.0,6064.0,3697.15
54.81617831,11.33697486,nakskov skole,1724316339000.0,4854.0,4557.34
54.84067104,11.33233578,skole nr 1 ,1724315297000.0,3506.0,1487.86
54.84067104,11.33233578,nakskov skole,1724314514000.0,3079.0,2375.9700000000003
54.84028609,11.16465139,skole nr 1 ,1724314298000.0,4505.0,1441.9
54.84028609,11.16465139,nakskov skole,1724313600000.0,1034.0,1289.47
54.84024098,11.16339309,skole nr 1 ,1724314360000.0,4443.0,1361.18
54.84024098,11.16339309,nakskov skole,1724313600000.0,972.0,1208.75
54.84024044,11.16337455,skole nr 1 ,1724314361000.0,4442.0,1359.99
54.84024044,11.16337455,nakskov skole,1724313600000.0,971.0,1207.56
54.8402493,11.16367832,skole nr 1 ,1724314346000.0,4457.0,1379.47
54.8402493,11.16367832,nakskov skole,1724313600000.0,986.0,1227.04
54.84026434,11.16416072,skole nr 1 ,1724314322000.0,4481.0,1410.4
54.84026434,11.16416072,nakskov skole,1724313600000.0,1010.0,1257.97
54.8402599,11.16402637,skole nr 1 ,1724314329000.0,4474.0,1401.79
54.8402599,11.16402637,nakskov skole,1724313600000.0,1003.0,1249.36
54.84025726,11.16394658,skole nr 1 ,1724314333000.0,4470.0,1396.67
54.84025726,11.16394658,nakskov skole,1724313600000.0,999.0,1244.24
54.84026779,11.16426499,skole nr 1 ,1724314317000.0,4486.0,1417.09
54.84026779,11.16426499,nakskov skole,1724313600000.0,1015.0,1264.66
54.84027914,11.16452844,skole nr 1 ,1724314304000.0,4499.0,1434.0
54.84027914,11.16452844,nakskov skole,1724313600000.0,1028.0,1281.57
54.84660704,11.16139944,skole nr 1 ,1724313627000.0,5176.0,2265.74
54.84660704,11.16139944,nakskov skole,1724313600000.0,1117.0,1389.78
54.84679415,11.1616478,skole nr 1 ,1724313606000.0,5197.0,2292.6299999999997
54.84679415,11.1616478,nakskov skole,1724313600000.0,1138.0,1416.66
54.84685237,11.16184111,skole nr 1 ,1724313806000.0,4997.0,2822.52
54.84685237,11.16184111,nakskov skole,1724313600000.0,1148.0,1430.62
54.8469788,11.16254104,skole nr 1 ,1724313762000.0,5041.0,2872.21
54.8469788,11.16254104,nakskov skole,1724313600000.0,1192.0,1480.32
54.84683511,11.1630929,skole nr 1 ,1724313733000.0,5070.0,2910.99
54.84683511,11.1630929,nakskov skole,1724313600000.0,1221.0,1519.1
54.84680055,11.16322127,skole nr 1 ,1724313726000.0,5077.0,2920.06
54.84680055,11.16322127,nakskov skole,1724313600000.0,1228.0,1528.17
54.84688045,11.16291921,skole nr 1 ,1724313742000.0,5061.0,2898.7799999999997
54.84688045,11.16291921,nakskov skole,1724313600000.0,1212.0,1506.89
54.84674029,11.16152774,skole nr 1 ,1724313614000.0,5189.0,2282.83
54.84674029,11.16152774,nakskov skole,1724313600000.0,1130.0,1406.87
54.84672357,11.16150453,skole nr 1 ,1724313616000.0,5187.0,2280.46
54.84672357,11.16150453,nakskov skole,1724313600000.0,1128.0,1404.49
54.84685942,11.16186454,skole nr 1 ,1724313804000.0,4999.0,2824.21
54.84685942,11.16186454,nakskov skole,1724313600000.0,1150.0,1432.32
54.84680055,11.16322127,skole nr 1 ,1724313726000.0,5077.0,2920.06
54.84680055,11.16322127,nakskov skole,1724313600000.0,1228.0,1528.17
54.84700534,11.16241817,skole nr 1 ,1724313769000.0,5034.0,2863.7799999999997
54.84700534,11.16241817,nakskov skole,1724313600000.0,1185.0,1471.89
54.84680055,11.16322127,skole nr 1 ,1724313726000.0,5077.0,2920.06
54.84680055,11.16322127,nakskov skole,1724313600000.0,1228.0,1528.17
54.85192849,11.14926457,skole nr 1 ,1724313703000.0,5100.0,2974.77
54.85192849,11.14926457,nakskov skole,1724313600000.0,1497.0,1888.89
54.85319153,11.1496412,skole nr 1 ,1724315560000.0,5043.0,1596.75
54.85319153,11.1496412,nakskov skole,1724313600000.0,1613.0,2035.29
54.87287728,11.12325196,skole nr 1 ,1724317065000.0,5338.0,1893.31
54.87287728,11.12325196,nakskov skole,1724313600000.0,4430.0,5673.47
54.87296871,11.1207407,skole nr 1 ,1724317189000.0,5214.0,1732.32
54.87296871,11.1207407,nakskov skole,1724313600000.0,4568.0,5794.68
54.87279773,11.13182223,skole nr 1 ,1724316664000.0,5739.0,2405.95
54.87279773,11.13182223,nakskov skole,1724313600000.0,4005.0,5124.26
54.87275824,11.13254773,skole nr 1 ,1724316700000.0,5703.0,2359.27
54.87275824,11.13254773,nakskov skole,1724313600000.0,3969.0,5077.59
54.87225245,11.13700552,skole nr 1 ,1724316521000.0,5882.0,2592.1
54.87225245,11.13700552,nakskov skole,1724313600000.0,4148.0,5310.41
54.87282429,11.13125843,skole nr 1 ,1724316668000.0,5735.0,2406.33
54.87282429,11.13125843,nakskov skole,1724313600000.0,4033.0,5160.45
54.87282429,11.13125843,skole nr 1 ,1724316668000.0,5735.0,2406.33
54.87282429,11.13125843,nakskov skole,1724313600000.0,4033.0,5160.45
54.87210843,11.13899838,skole nr 1 ,1724316421000.0,5982.0,2720.6
54.87210843,11.13899838,nakskov skole,1724313600000.0,4248.0,5438.91
54.87303564,11.11882263,skole nr 1 ,1724313684000.0,5119.0,1609.3799999999999
54.87303564,11.11882263,nakskov skole,1724313600000.0,4473.0,5671.74
54.87272603,11.13294334,skole nr 1 ,1724316720000.0,5683.0,2333.72
54.87272603,11.13294334,nakskov skole,1724313600000.0,3949.0,5052.03
54.87209918,11.13911441,skole nr 1 ,1724316415000.0,5988.0,2728.1
54.87209918,11.13911441,nakskov skole,1724313600000.0,4254.0,5446.41
54.87181231,11.14394878,skole nr 1 ,1724316173000.0,6230.0,3039.07
54.87181231,11.14394878,nakskov skole,1724313600000.0,4254.0,5428.5
54.87282429,11.13125843,skole nr 1 ,1724316668000.0,5735.0,2406.33
54.87282429,11.13125843,nakskov skole,1724313600000.0,4033.0,5160.45
54.87199875,11.14069316,skole nr 1 ,1724316336000.0,6067.0,2829.74
54.87199875,11.14069316,nakskov skole,1724313600000.0,4333.0,5548.05
54.87182379,11.14376812,skole nr 1 ,1724316182000.0,6221.0,3027.44
54.87182379,11.14376812,nakskov skole,1724313600000.0,4263.0,5440.13
54.77543834,11.52998841,skole nr 1 ,1724314758000.0,2245.0,413.43
54.77543834,11.52998841,nakskov skole,1724313680000.0,4145.0,3564.42
54.77517277,11.52966163,skole nr 1 ,1724314806000.0,2197.0,360.77
54.77517277,11.52966163,nakskov skole,1724313728000.0,4097.0,3511.77
54.77548835,11.52995254,skole nr 1 ,1724314753000.0,2250.0,419.44
54.77548835,11.52995254,nakskov skole,1724313675000.0,4150.0,3570.44
54.77526273,11.53013313,skole nr 1 ,1724314779000.0,2224.0,392.93
54.77526273,11.53013313,nakskov skole,1724313701000.0,4124.0,3543.93
54.77565294,11.52948307,skole nr 1 ,1724314715000.0,2288.0,468.85
54.77565294,11.52948307,nakskov skole,1724313637000.0,4188.0,3619.85
